id,name,scientific_name,life_time
549,Little brown dove,Streptopelia senegalensis,54.8
550,House crow,Corvus brachyrhynchos,34.4
551,Ring-tailed gecko,Cyrtodactylus louisiadensis,38.7
552,"Whale, baleen",Eubalaena australis,9.6
553,"Vulture, black",Aegypius tracheliotus,17.9
554,"Jackrabbit, white-tailed",Lepus townsendii,25.7
555,Mexican wolf,Canis lupus baileyi,41.9
556,Common wolf,Canis lupus,8.6
557,Long-necked turtle,Chelodina longicollis,15.9
558,Goliath heron,Ardea golieth,25.7
559,Meerkat,Suricata suricatta,43.0
560,"Stork, jabiru",Ephippiorhynchus mycteria,26.5
561,"Tortoise, galapagos",Geochelone elephantopus,45.9
562,Gambel's quail,Callipepla gambelii,26.7
563,Horned lark,Eremophila alpestris,7.8
564,Worm snake (unidentified),Carphophis sp.,58.2
565,Dusky gull,Larus fuliginosus,62.6
566,Rock dove,Columba livia,7.2
567,Springhare,Pedetes capensis,8.1
568,"Pelican, eastern white",Pelecans onocratalus,43.9
569,"Swan, trumpeter",Cygnus buccinator,10.6
570,Pallas's fish eagle,Haliaeetus leucoryphus,58.1
571,Sacred ibis,Threskionis aethiopicus,57.4
572,"Dragon, frilled",Chlamydosaurus kingii,35.3
573,"Parakeet, rose-ringed",Psittacula krameri,39.7
574,"Quail, gambel's",Callipepla gambelii,65.8
575,"Peccary, white-lipped",Tayassu pecari,64.8
576,Long-tailed skua,Stercorarius longicausus,4.7
577,Black-crowned crane,Balearica pavonina,13.2
578,Yellow-throated sandgrouse,Pterocles gutturalis,62.9
579,Crab-eating raccoon,Procyon cancrivorus,55.6
580,"Sheathbill, snowy",Chionis alba,32.8
581,Gila monster,Heloderma horridum,21.9
582,Red-tailed phascogale,Phascogale calura,43.5
583,"Sloth, two-toed tree",Choloepus hoffmani,31.1
584,Least chipmunk,Eutamias minimus,41.2
585,"Kangaroo, black-faced",Macropus fuliginosus,1.5
586,"Heron, grey",Ardea cinerea,37.0
587,"Rhea, gray",Rhea americana,9.1
588,Cape Barren goose,Cereopsis novaehollandiae,67.4
589,"Wagtail, african pied",Motacilla aguimp,34.5
590,Numbat,Myrmecobius fasciatus,69.9
591,"Wambenger, red-tailed",Phascogale calura,35.5
592,"Hornbill, yellow-billed",Tockus flavirostris,56.3
593,Purple moorhen,Porphyrio porphyrio,20.9
594,White-rumped vulture,Gyps bengalensis,46.5
595,"Fox, crab-eating",Dusicyon thous,21.4
596,North American red fox,Vulpes vulpes,31.7
597,Nile crocodile,Crocodylus niloticus,49.3
598,Puna ibis,Plegadis ridgwayi,14.5
599,Sloth bear,Melursus ursinus,45.0
600,Mara,Dolichitus patagonum,1.6
601,"Cat, miner's",Bassariscus astutus,23.9
602,Sage grouse,Centrocercus urophasianus,12.3
603,Blue-tongued skink,Tiliqua scincoides,32.0
604,"Bustard, stanley",Neotis denhami,7.1
605,White-necked stork,Ciconia episcopus,37.5
606,"Rat, white-faced tree",Echimys chrysurus,69.3
607,"Mouse, four-striped grass",Rhabdomys pumilio,59.4
608,"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,1.6
609,Pacific gull,Gabianus pacificus,47.8
610,Rufous tree pie,Dendrocitta vagabunda,18.9
611,"Heron, boat-billed",Cochlearius cochlearius,48.2
612,Yellow-necked spurfowl,Francolinus leucoscepus,56.3
613,White-cheeked pintail,Anas bahamensis,55.7
614,Azara's zorro,Pseudalopex gymnocercus,45.4
615,Agouti,Dasyprocta leporina,36.0
616,"Dragon, western bearded",Amphibolurus barbatus,41.8
617,"Baboon, yellow",Papio cynocephalus,43.6
618,"Jackal, asiatic",Canis aureus,3.4
619,"Bat, madagascar fruit",Pteropus rufus,25.4
620,Grey lourie,Lorythaixoides concolor,67.1
621,"Admiral, indian red",Vanessa indica,0.5
622,Anaconda (unidentified),Eunectes sp.,59.6
623,Sable antelope,Hippotragus niger,8.1
624,"Otter, brazilian",Pteronura brasiliensis,12.2
625,"Tinamou, elegant crested",Eudromia elegans,41.9
626,"Hen, sage",Centrocercus urophasianus,60.9
627,Black-throated cardinal,Paroaria gularis,26.2
628,Turkey vulture,Cathartes aura,10.2
629,"Egret, snowy",Egretta thula,39.9
630,"Badger, eurasian",Meles meles,16.4
631,Nile crocodile,Crocodylus niloticus,45.6
632,"Porcupine, tree",Coendou prehensilis,63.1
633,Asiatic wild ass,Equus hemionus,48.4
634,Vicuna,Vicugna vicugna,34.2
635,River wallaby,Macropus agilis,14.2
636,Rufous tree pie,Dendrocitta vagabunda,19.7
637,"Snake, buttermilk",Coluber constrictor,62.2
638,"Otter, brazilian",Pteronura brasiliensis,13.5
639,Ringtail,Bassariscus astutus,9.6
640,Wolf spider,Lycosa godeffroyi,62.6
641,"Bear, american black",Ursus americanus,65.0
642,"Crow, american",Corvus brachyrhynchos,11.9
643,"Goose, andean",Chloephaga melanoptera,23.5
644,Cape raven,Corvus albicollis,16.1
645,"Vulture, king",Sarcorhamphus papa,60.7
646,Suricate,Suricata suricatta,44.7
647,"Deer, black-tailed",Odocoileus hemionus,33.9
648,Slender-billed cockatoo,Cacatua tenuirostris,46.5
649,Greater roadrunner,Geococcyx californianus,28.3
650,"Hyena, striped",Hyaena hyaena,57.3
651,Royal tern,Thalasseus maximus,30.7
652,"Goose, andean",Chloephaga melanoptera,16.6
653,Snowy owl,Nyctea scandiaca,2.1
654,"Bear, black",Ursus americanus,0.3
655,"Bandicoot, southern brown",Isoodon obesulus,36.3
656,"Dik, kirk's dik",Madoqua kirkii,56.0
657,"Gonolek, burchell's",Laniaurius atrococcineus,12.4
658,Helmeted guinea fowl,Numida meleagris,20.4
659,Blue-breasted cordon bleu,Uraeginthus angolensis,28.1
660,"Creeper, black-tailed tree",Climacteris melanura,1.2
661,North American river otter,Lutra canadensis,6.9
662,Masked booby,Sula dactylatra,27.5
663,"Eagle, golden",Aquila chrysaetos,20.3
664,Ovenbird,Seiurus aurocapillus,35.6
665,"Monster, gila",Heloderma horridum,66.4
666,"Squirrel, arctic ground",Spermophilus parryii,26.3
667,"Sheep, american bighorn",Ovis canadensis,32.1
668,"Barbet, crested",Trachyphonus vaillantii,42.6
669,"Heron, green-backed",Butorides striatus,44.2
670,Dama wallaby,Macropus eugenii,26.1
671,Radiated tortoise,Geochelone radiata,29.0
672,"Capuchin, weeper",Cebus nigrivittatus,62.5
673,White-throated kingfisher,Halcyon smyrnesis,68.3
674,"Gull, lava",Larus fuliginosus,58.8
675,Egyptian goose,Alopochen aegyptiacus,47.4
676,Eastern indigo snake,Drymarchon corias couperi,54.0
677,Yak,Bos mutus,13.7
678,"Jacana, african",Actophilornis africanus,19.4
679,White-faced tree rat,Echimys chrysurus,47.7
680,"Tortoise, radiated",Geochelone radiata,67.5
681,"Pelican, eastern white",Pelecans onocratalus,18.0
682,"Seal, southern elephant",Mirounga leonina,32.5
683,Tiger,Panthera tigris,1.9
684,Tsessebe,Damaliscus lunatus,3.7
685,White-browed owl,Ninox superciliaris,40.2
686,"Monkey, rhesus",Macaca mulatta,47.3
687,Chilean flamingo,Phoenicopterus chilensis,6.3
688,"Owl, great horned",Bubo virginianus,11.3
689,Dabchick,Tachybaptus ruficollis,63.0
690,"Bird, bare-faced go away",Lorythaixoides concolor,45.9
691,"Pintail, white-cheeked",Anas bahamensis,36.2
692,Stick insect,Leprocaulinus vipera,6.1
693,"Wildebeest, blue",Connochaetus taurinus,26.6
694,"Macaw, red and blue",Ara chloroptera,48.0
695,Warthog,Phacochoerus aethiopus,21.7
696,"Egret, great",Casmerodius albus,15.1
697,"Cormorant, great",Phalacrocorax carbo,6.0
698,Roseat flamingo,Phoenicopterus ruber,37.7
699,Gray langur,Semnopithecus entellus,39.5
700,Tarantula,Lasiodora parahybana,25.5
701,"Beaver, european",Castor fiber,58.2
702,Mallard,Anas platyrhynchos,34.1
703,"Barbet, levaillant's",Trachyphonus vaillantii,36.4
704,"Barbet, black-collared",Lybius torquatus,48.0
705,African red-eyed bulbul,Pycnonotus nigricans,33.0
706,Bottle-nose dolphin,Tursiops truncatus,69.0
707,"Squirrel, smith's bush",Paraxerus cepapi,42.8
708,"Squirrel, eurasian red",Sciurus vulgaris,55.6
709,"Coot, red-knobbed",Fulica cristata,29.0
710,"Shrew, mandras tree",Anathana ellioti,59.4
711,Onager,Equus hemionus,26.2
712,Tiger,Panthera tigris,63.3
713,Southern black-backed gull,Larus dominicanus,22.4
714,"Eland, common",Taurotagus oryx,39.7
715,Brown antechinus,Antechinus flavipes,59.9
716,Blue waxbill,Uraeginthus angolensis,15.0
717,"Otter, canadian river",Lutra canadensis,61.2
718,"Jackal, black-backed",Canis mesomelas,53.0
719,Desert tortoise,Gopherus agassizii,50.3
720,Stick insect,Leprocaulinus vipera,16.7
721,"Gecko, barking",Phylurus milli,34.7
722,Rhesus macaque,Macaca mulatta,42.0
723,Woodchuck,Marmota monax,22.2
724,Ring-tailed lemur,Lemur catta,53.7
725,"Glider, sugar",Petaurus breviceps,38.5
726,"Lion, south american sea",Otaria flavescens,51.6
727,Puma,Felis concolor,7.8
728,Great skua,Catharacta skua,7.2
729,"Penguin, magellanic",Spheniscus magellanicus,54.8
730,"Falcon, prairie",Falco mexicanus,30.1
731,Leadbeateri's ground hornbill,Bucorvus leadbeateri,41.5
732,"Civet, common palm",Paradoxurus hermaphroditus,17.4
733,"Shelduck, common",Tadorna tadorna,23.9
734,"Fox, crab-eating",Dusicyon thous,32.0
735,"Mongoose, small indian",Herpestes javanicus,22.8
736,"Dog, black-tailed prairie",Cynomys ludovicianus,30.3
737,Savannah deer (unidentified),unavailable,59.9
738,Crab (unidentified),unavailable,21.4
739,Gulls (unidentified),Larus sp.,37.4
740,"Shrike, common boubou",Laniarius ferrugineus,50.6
741,Nilgai,Boselaphus tragocamelus,42.8
742,"Kangaroo, black-faced",Macropus fuliginosus,2.2
743,Bird (unidentified),unavailable,60.5
744,Land iguana,Conolophus subcristatus,27.2
745,"Shelduck, european",Tadorna tadorna,44.8
746,Common zebra,Equus burchelli,57.1
747,"Cat, civet",Bassariscus astutus,18.2
748,"Butterfly, tropical buckeye",Junonia genoveua,52.0
749,Ostrich,Struthio camelus,30.0
750,"Polecat, african",Ictonyx striatus,22.9
751,"Echidna, short-beaked",Tachyglossus aculeatus,15.2
752,Black-crowned night heron,Nycticorax nycticorax,4.0
753,Long-crested hawk eagle,Lophoaetus occipitalis,18.7
754,Pied cormorant,Phalacrocorax varius,34.1
755,"Pelican, eastern white",Pelecans onocratalus,62.6
756,Mara,Dolichitus patagonum,58.7
757,African bush squirrel,Paraxerus cepapi,57.1
758,Margay,Felis wiedi or Leopardus weidi,37.8
759,"Wambenger, red-tailed",Phascogale calura,8.3
760,Jaguarundi,Felis yagouaroundi,6.2
761,"Rat, white-faced tree",Echimys chrysurus,14.5
762,Steller sea lion,Eumetopias jubatus,53.0
763,Potoroo,Potorous tridactylus,54.9
764,White stork,Ciconia ciconia,41.1
765,Rose-ringed parakeet,Psittacula krameri,68.9
766,California sea lion,Zalophus californicus,45.3
767,Western bearded dragon,Amphibolurus barbatus,65.3
768,Purple moorhen,Porphyrio porphyrio,39.7
769,Coke's hartebeest,Alcelaphus buselaphus cokii,5.3
770,"Goose, andean",Chloephaga melanoptera,35.7
771,"Lemur, sportive",Lepilemur rufescens,43.0
772,"Roadrunner, greater",Geococcyx californianus,27.6
773,Brazilian tapir,Tapirus terrestris,14.4
774,Least chipmunk,Eutamias minimus,18.7
775,American beaver,Castor canadensis,52.0
776,Western bearded dragon,Amphibolurus barbatus,29.5
777,Tiger,Panthera tigris,35.4
778,American crow,Corvus brachyrhynchos,55.6
779,Hippopotamus,Hippopotamus amphibius,15.6
780,"Goose, knob-nosed",Sarkidornis melanotos,68.9
781,Ocelot,Felis pardalis,19.3
782,"Turtle, snake-necked",Chelodina longicollis,6.7
783,Bush dog,Speothos vanaticus,4.1
784,Red kangaroo,Macropus rufus,69.3
785,Bateleur eagle,Terathopius ecaudatus,25.8
786,"Zebra, plains",Equus burchelli,0.9
787,Greater roadrunner,Geococcyx californianus,37.3
788,Spectacled caiman,Caiman crocodilus,27.2
789,"Falcon, peregrine",Falco peregrinus,15.9
790,Zorilla,Ictonyx striatus,55.0
791,Green-backed heron,Butorides striatus,52.1
792,"Puma, south american",Felis concolor,30.4
793,Asiatic jackal,Canis aureus,33.6
794,"Mongoose, javan gold-spotted",Herpestes javanicus,11.2
795,Common rhea,Rhea americana,37.5
796,Water monitor,Varanus salvator,7.8
797,Radiated tortoise,Geochelone radiata,61.7
798,Leadbeateri's ground hornbill,Bucorvus leadbeateri,69.5
799,Desert kangaroo rat,Dipodomys deserti,62.7
800,"Hornbill, yellow-billed",Tockus flavirostris,65.3
801,"Heron, green-backed",Butorides striatus,52.5
802,European badger,Meles meles,21.8
803,"Pelican, brown",Pelecanus occidentalis,28.7
804,Herring gull,unavailable,21.6
805,"Capuchin, brown",Cebus apella,35.6
806,"Deer, savannah",Mazama gouazoubira,19.0
807,"Cockatoo, sulfur-crested",Cacatua galerita,24.0
808,White-faced tree rat,Echimys chrysurus,7.0
809,"Egret, cattle",Bubulcus ibis,27.4
810,Green-winged macaw,Ara chloroptera,15.9
811,"Hoopoe, eurasian",Upupa epops,32.6
812,"Wapiti, elk,",Cervus canadensis,46.4
813,Blesbok,Damaliscus dorcas,47.3
814,Musk ox,Ovibos moschatus,40.7
815,Galapagos hawk,Buteo galapagoensis,48.2
816,"Wolf, timber",Canis lupus lycaon,64.4
817,"Egret, great",Casmerodius albus,50.5
818,"Buffalo, american",Bison bison,64.7
819,"Tern, arctic",Sterna paradisaea,14.4
820,Australian magpie,Gymnorhina tibicen,68.0
821,"Dove, little brown",Streptopelia senegalensis,9.0
822,"Rhea, gray",Rhea americana,22.0
823,Silver-backed jackal,Canis mesomelas,36.5
824,"Skua, great",Catharacta skua,41.5
825,Madagascar hawk owl,Ninox superciliaris,14.8
826,"Rattlesnake, dusky",Crotalus triseriatus,2.6
827,Dromedary camel,Camelus dromedarius,66.4
828,Crested bunting,Melophus lathami,60.8
829,"Deer, red",Cervus elaphus,67.2
830,"Woodpecker, red-headed",Melanerpes erythrocephalus,0.4
831,Common mynah,Acridotheres tristis,1.8
832,Ornate rock dragon,Ctenophorus ornatus,62.6
833,African jacana,Actophilornis africanus,42.2
834,"Pheasant, common",Phasianus colchicus,2.8
835,"Rattlesnake, dusky",Crotalus triseriatus,69.6
836,African lion,Panthera leo,12.4
837,Fat-tailed dunnart,Smithopsis crassicaudata,33.5
838,Australian pelican,Pelecanus conspicillatus,49.2
839,"Glider, squirrel",Petaurus norfolcensis,0.9
840,"Barbet, crested",Trachyphonus vaillantii,7.7
841,"Eagle, golden",Aquila chrysaetos,10.7
842,Puma,Felis concolor,7.4
843,"Booby, blue-footed",Sula nebouxii,44.1
844,Paca,Agouti paca,59.2
845,"Bat, asian false vampire",Megaderma spasma,59.3
846,Grey lourie,Lorythaixoides concolor,1.6
847,Madagascar fruit bat,Pteropus rufus,67.3
848,Long-tailed skua,Stercorarius longicausus,30.2
849,"Sifaka, verreaux's",Propithecus verreauxi,22.2
850,"Sloth, hoffman's",Choloepus hoffmani,32.3
851,Kori bustard,Choriotis kori,39.6
852,"Darter, african",Anhinga rufa,51.6
853,Eastern cottontail rabbit,Sylvilagus floridanus,37.6
854,Roseate cockatoo,Eolophus roseicapillus,17.2
855,"Baboon, yellow",Papio cynocephalus,7.1
856,"Lizard, blue-tongued",Tiliqua scincoides,40.2
857,"Deer, mule",Odocoileus hemionus,1.7
858,Egyptian viper,Naja haje,62.7
859,Rhesus monkey,Macaca mulatta,67.5
860,Monitor lizard (unidentified),Varanus sp.,57.0
861,"Eagle, tawny",Anitibyx armatus,69.6
862,"Falcon, peregrine",Falco peregrinus,20.3
863,"Deer, roe",Capreolus capreolus,29.1
864,"Glider, sugar",Petaurus breviceps,6.6
865,Common wombat,Vombatus ursinus,51.0
866,"Hornbill, yellow-billed",Tockus flavirostris,26.8
867,Red-billed hornbill,Tockus erythrorhyncus,69.2
868,"White-eye, pale",Zosterops pallidus,30.3
869,Killer whale,Orcinus orca,8.2
870,Kori bustard,Choriotis kori,58.2
871,Eurasian beaver,Castor fiber,54.1
872,Malleefowl,Leipoa ocellata,4.5
873,Red-winged blackbird,Agelaius phoeniceus,39.7
874,Silver-backed fox,Vulpes chama,61.3
875,"Coot, red-knobbed",Fulica cristata,10.0
876,"Cat, toddy",Paradoxurus hermaphroditus,68.9
877,Red meerkat,Cynictis penicillata,69.6
878,Western patch-nosed snake,Salvadora hexalepis,34.6
879,Blue and gold macaw,Ara ararauna,14.4
880,"Eagle, white-bellied sea",Haliaetus leucogaster,38.2
881,Common waterbuck,Kobus defassa,45.4
882,Horned puffin,Fratercula corniculata,46.2
883,"Goose, andean",Chloephaga melanoptera,44.7
884,Giraffe,Giraffe camelopardalis,42.9
885,"Pintail, bahama",Anas bahamensis,14.6
886,"Gecko, tokay",Gekko gecko,46.4
887,"Crab, sally lightfoot",Graspus graspus,68.3
888,Bennett's wallaby,Macropus rufogriseus,15.9
889,Barasingha deer,Cervus duvauceli,50.2
890,Sacred ibis,Threskionis aethiopicus,44.3
891,"Moorhen, purple",Porphyrio porphyrio,27.7
892,"Rattlesnake, eastern diamondback",Crotalus adamanteus,61.4
893,"Moorhen, purple",Porphyrio porphyrio,15.2
894,"Dunnart, fat-tailed",Smithopsis crassicaudata,29.4
895,"Legaan, water",Varanus salvator,35.9
896,"Wallaby, whip-tailed",Macropus parryi,21.9
897,Indian mynah,Acridotheres tristis,6.3
898,"Pie, indian tree",Dendrocitta vagabunda,13.1
899,Kaffir cat,Felis silvestris lybica,25.0
900,Agile wallaby,Macropus agilis,48.8
901,"Grouse, sage",Centrocercus urophasianus,2.9
902,"Stork, marabou",Leptoptilos crumeniferus,15.5
903,Red-breasted nuthatch,Sitta canadensis,14.8
904,Blue-faced booby,Sula dactylatra,46.5
905,Pale white-eye,Zosterops pallidus,43.9
906,"Gull, kelp",Larus dominicanus,13.9
907,"Eagle, bald",Haliaeetus leucocephalus,45.0
908,Madagascar hawk owl,Ninox superciliaris,12.1
909,"Kangaroo, eastern grey",Macropus giganteus,47.8
910,"Bee-eater, white-fronted",Merops bullockoides,69.9
911,Secretary bird,Sagittarius serpentarius,5.1
912,Long-nosed bandicoot,Perameles nasuta,57.0
913,"Vulture, black",Aegypius tracheliotus,32.1
914,"Swan, trumpeter",Cygnus buccinator,57.0
915,"Goose, egyptian",Alopochen aegyptiacus,40.4
916,"Cat, jungle",Felis chaus,68.1
917,North American red fox,Vulpes vulpes,53.5
918,Common turkey,Meleagris gallopavo,65.8
919,White-tailed deer,Odocoilenaus virginianus,60.8
920,"Hawk, galapagos",Buteo galapagoensis,51.4
921,Red-billed tropic bird,Phaethon aethereus,55.1
922,"Cormorant, flightless",Nannopterum harrisi,26.8
923,Coke's hartebeest,Alcelaphus buselaphus cokii,4.9
924,Gerenuk,Litrocranius walleri,18.5
925,Curve-billed thrasher,Toxostoma curvirostre,18.3
926,"Gull, kelp",Larus dominicanus,25.6
927,"Spider, wolf",Lycosa godeffroyi,29.1
928,Golden-mantled ground squirrel,Spermophilus lateralis,22.7
929,"Hawk, red-tailed",Buteo jamaicensis,51.1
930,Marine iguana,Amblyrhynchus cristatus,1.2
931,Bare-faced go away bird,Lorythaixoides concolor,27.9
932,Chital,Axis axis,21.8
933,Kelp gull,Larus dominicanus,36.2
934,"Dove, ring",Columba palumbus,68.0
935,Purple moorhen,Porphyrio porphyrio,35.8
936,"Eland, common",Taurotagus oryx,14.9
937,"Fox, silver-backed",Vulpes chama,56.3
938,Small Indian mongoose,Herpestes javanicus,7.0
939,Ocelot,Felis pardalis,37.9
940,Greylag goose,Anser anser,24.9
941,Masked booby,Sula dactylatra,24.0
942,"Lion, mountain",Felis concolor,4.9
943,"Crane, wattled",Bugeranus caruncalatus,55.8
944,"Albatross, waved",Diomedea irrorata,4.4
945,Brown pelican,Pelecanus occidentalis,34.6
946,Coyote,Canis latrans,25.8
947,Arctic ground squirrel,Spermophilus parryii,8.6
948,American crow,Corvus brachyrhynchos,17.9
949,"Bustard, stanley",Neotis denhami,54.1
950,Sidewinder,Crotalus cerastes,38.9
951,Bohor reedbuck,Redunca redunca,41.6
952,"Goose, greylag",Anser anser,42.4
953,Brown antechinus,Antechinus flavipes,64.8
954,White-throated toucan,Ramphastos tucanus,28.8
955,"Heron, green",Butorides striatus,30.9
956,"Salmon, sockeye",Oncorhynchus nerka,67.1
957,North American porcupine,Erethizon dorsatum,15.0
958,Eastern fox squirrel,Sciurus niger,8.7
959,Dromedary camel,Camelus dromedarius,9.1
960,Thomson's gazelle,Gazella thompsonii,16.6
961,Blue shark,Prionace glauca,51.6
962,"Gnu, brindled",Connochaetus taurinus,58.0
963,"Cobra, cape",Naja nivea,67.1
964,Galah,Eolophus roseicapillus,39.7
965,Galapagos tortoise,Geochelone elephantopus,1.1
966,Puna ibis,Plegadis ridgwayi,46.0
967,"Ibis, sacred",Threskionis aethiopicus,34.4
968,Australian masked owl,Tyto novaehollandiae,25.2
969,Gemsbok,Oryx gazella,55.2
970,"Lion, california sea",Zalophus californicus,22.1
971,Mexican boa,Boa constrictor mexicana,43.4
972,"Sheep, american bighorn",Ovis canadensis,68.8
973,Chilean flamingo,Phoenicopterus chilensis,48.9
974,"Cormorant, king",Phalacrocorax albiventer,10.3
975,"Barbet, black-collared",Lybius torquatus,22.9
976,"Parakeet, rose-ringed",Psittacula krameri,15.3
977,Manatee,Trichechus inunguis,34.7
978,"Hartebeest, coke's",Alcelaphus buselaphus cokii,5.0
979,"Parrot, hawk-headed",Deroptyus accipitrinus,20.3
980,Ovenbird,Seiurus aurocapillus,38.1
981,"Sparrow, rufous-collared",Zonotrichia capensis,55.6
982,Australian masked owl,Tyto novaehollandiae,65.5
983,"Ass, asiatic wild",Equus hemionus,55.7
984,"Hornbill, red-billed",Tockus erythrorhyncus,44.8
985,"Spoonbill, european",Platalea leucordia,53.3
986,Mandras tree shrew,Anathana ellioti,69.7
987,"Dragon, western bearded",Amphibolurus barbatus,7.9
988,"Mockingbird, galapagos",Nesomimus trifasciatus,41.8
989,"Barbet, black-collared",Lybius torquatus,36.0
990,Red-legged pademelon,Thylogale stigmatica,8.6
991,"Rhea, common",Rhea americana,25.2
992,Four-horned antelope,Tetracerus quadricornis,27.7
993,"Duck, comb",Sarkidornis melanotos,17.6
994,American Virginia opossum,Didelphis virginiana,5.2
995,Cobra (unidentified),Naja sp.,34.5
996,"Tarantula, salmon pink bird eater",Lasiodora parahybana,12.9
997,South American puma,Felis concolor,50.4
998,Bontebok,Damaliscus dorcas,37.8
999,"Langur, hanuman",Semnopithecus entellus,13.8
1000,"Anteater, giant",Myrmecophaga tridactyla,22.2
